GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Domain,default,Domain,0,5,0,0,0,3,0,2,0,2
Domain,Model.Aeronaves,Aeronave,0,12,0,0,0,6,0,2,0,2
Domain,Event,VueloCreado,0,87,0,0,0,36,0,18,0,18
Domain,Model.Vuelos.ValueObjects,NumeroVuelo,0,15,0,0,0,5,0,2,0,2
Domain,Factories,AeronaveFactory,0,8,0,0,0,3,0,2,0,2
Domain,Factories,VueloFactory,0,13,0,0,0,3,0,2,0,2
Domain,Factories,TripulanteFactory,0,10,0,0,0,3,0,2,0,2
Domain,Model.Vuelos,Tripulante,0,15,0,0,0,6,0,1,0,1
Domain,Model.Vuelos,Vuelo,7,92,1,1,1,23,2,5,1,5
